# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
792	2.043504684458326e-8	2.043450466771318e-8
800	2.0433221663251037e-8	2.04370842608587e-8
808	2.0433993990537058e-8	2.043534577900072e-8
816	2.0436520104190527e-8	2.0433907783920687e-8
824	2.043844334798854e-8	2.0430180637563797e-8
832	2.043790284926524e-8	2.0431216055123503e-8
840	2.0435303342009558e-8	2.0433567102216793e-8
848	2.0433153757991018e-8	2.0436685593479165e-8
856	2.043355402037872e-8	2.043628896034834e-8
864	2.043612215893846e-8	2.0434087521271564e-8
872	2.0438446458987263e-8	2.043106887831275e-8
880	2.0437999496572755e-8	2.0430675484342156e-8
888	2.0435028166206823e-8	2.043302411911479e-8
896	2.043202087242779e-8	2.0436340949450226e-8
904	2.0431768504815523e-8	2.043595126318578e-8
912	2.0434438347537982e-8	2.0434247182930383e-8
920	2.0437203286742296e-8	2.043210647108367e-8
928	2.0437251362323465e-8	2.0430323971200823e-8
936	2.04346456365043e-8	2.0433595111617872e-8
944	2.0431619749634294e-8	2.0435626055534837e-8
952	2.043062756383933e-8	2.0437167927242434e-8
960	2.0432996028223654e-8	2.043324902022167e-8
968	2.0436274205832993e-8	2.0432137640014103e-8
976	2.0437032248537698e-8	2.043144688587709e-8
984	2.0434822361725698e-8	2.043278910485994e-8
992	2.0432015006856562e-8	2.0435305537865295e-8
1000	2.043109495218873e-8	2.043733333672661e-8
1008	2.0433072571755404e-8	2.0434942168586683e-8
1016	2.04361940623032e-8	2.0431531177356265e-8
1024	2.0437327419854308e-8	2.043170019305583e-8
1032	2.0435532396137366e-8	2.0433490450155282e-8
1040	2.043271625217466e-8	2.0435976257372067e-8
1048	2.0431330434676955e-8	2.043679821109625e-8
1056	2.0432506253930214e-8	2.0436035531535475e-8
1064	2.0435317489212143e-8	2.043274840441894e-8
1072	2.0436770186055418e-8	2.0431064019281104e-8
1080	2.0435395134830236e-8	2.043291175051687e-8
1088	2.0432916267690735e-8	2.043565247876495e-8
1096	2.0431432829684036e-8	2.043792210620678e-8
1104	2.0432057255230815e-8	2.0435801216656203e-8
1112	2.0434549397779605e-8	2.0433425437769346e-8
1120	2.043647619493892e-8	2.0431969406341353e-8
1128	2.0435908585049087e-8	2.0431870416337746e-8
1136	2.0433608515609502e-8	2.0434648040446165e-8
1144	2.04319789808386e-8	2.0437637133927788e-8
1152	2.0432273169491678e-8	2.043697732045114e-8
1160	2.0434462984382656e-8	2.0433495563449378e-8
1168	2.0436441889412544e-8	2.0431657959951036e-8
1176	2.0436131082304104e-8	2.0433353576397204e-8
1184	2.0434191132051415e-8	2.043309056860752e-8
1192	2.0432419653287645e-8	2.0436227698715402e-8
1200	2.0432214562762936e-8	2.0437386421598057e-8
1208	2.0433874170801794e-8	2.0434370260506798e-8
1216	2.0435943339307353e-8	2.0432066598485904e-8
1224	2.0436008602180148e-8	2.0432680385253847e-8
1232	2.0434341274222482e-8	2.0434998351347715e-8
1240	2.04328431120019e-8	2.043428379246492e-8
1248	2.0432468295997838e-8	2.0435852421183795e-8
1256	2.043329851418194e-8	2.0435659345068946e-8
1264	2.043471786935038e-8	2.0432620000769367e-8
1272	2.0435114778885547e-8	2.0432813375843946e-8
1280	2.0434032591308456e-8	2.043419465866192e-8
1288	2.043294115065317e-8	2.0435501472043525e-8
1296	2.0432896253665382e-8	2.0434171207379223e-8
1304	2.0433599618698286e-8	2.0434748938086914e-8
1312	2.0434516910043128e-8	2.043430654867064e-8
1320	2.0434743011142078e-8	2.0432797927079688e-8
1328	2.043414647133152e-8	2.0434361455579932e-8
1336	2.0433673990114535e-8	2.043434240098826e-8
1344	2.043393175963021e-8	2.0434500735507822e-8
1352	2.0434313014768387e-8	2.0433631595012082e-8
1360	2.0434442044305747e-8	2.043375926727377e-8
1368	2.0434066589685783e-8	2.0434616556555443e-8
1376	2.0433498548062675e-8	2.0433807194902203e-8
1384	2.0433465168510585e-8	2.043473652721394e-8
1392	2.043429377906446e-8	2.0433224612531363e-8
1400	2.0434929344417193e-8	2.043326703223551e-8
1408	2.0434855018779853e-8	2.0433577718696468e-8
1416	2.0434191282005032e-8	2.043427100992748e-8
1424	2.0433588447162894e-8	2.0435303868381266e-8
1432	2.0433954923852656e-8	2.043429348039757e-8
1440	2.043504228214019e-8	2.043311235967676e-8
1448	2.0435706493197243e-8	2.04324791423752e-8
1456	2.043523488839444e-8	2.0432915278972694e-8
1464	2.0433832873625178e-8	2.0434474280674523e-8
1472	2.0432780272297046e-8	2.0435015064343712e-8
1480	2.0433289291619072e-8	2.0435736826428388e-8
1488	2.043473480847048e-8	2.0432737806794423e-8
1496	2.0435795373698204e-8	2.043165894966726e-8
1504	2.0435414139631598e-8	2.043285965105634e-8
1512	2.0433499877917005e-8	2.0433963000858042e-8
1520	2.0431692663114015e-8	2.0435648691078878e-8
1528	2.043211531394083e-8	2.0434968751642122e-8
1536	2.04344362090665e-8	2.043412880796811e-8
1544	2.0436084546223492e-8	2.0431753927352034e-8
1552	2.0435860655700894e-8	2.0431697344741374e-8
1560	2.0433925213459822e-8	2.0433977033618108e-8
1568	2.0431819322353902e-8	2.0435607008826056e-8
1576	2.043177334361034e-8	2.043533206921277e-8
1584	2.043438368505482e-8	2.0433247240916546e-8
1592	2.043730018544597e-8	2.043221350085327e-8
1600	2.0437732445115243e-8	2.043167560453235e-8
1608	2.0435778824604627e-8	2.04330017055992e-8
1616	2.0433234787334568e-8	2.0434990043033202e-8
1624	2.0432503618664516e-8	2.0435749278413147e-8
1632	2.0434430968540877e-8	2.0433502991656742e-8
1640	2.0437110279784063e-8	2.0431270427534837e-8
1648	2.0437944931572198e-8	2.0431653531029448e-8
1656	2.0436373754821266e-8	2.043230748002091e-8
1664	2.0433831049833402e-8	2.043465935734788e-8
1672	2.0432650473010196e-8	2.0435951559563047e-8
1680	2.043406744151847e-8	2.043389975936609e-8
1688	2.0436639155490798e-8	2.0431695682540498e-8
1696	2.043773559223317e-8	2.0430934164141576e-8
1704	2.0436455376212054e-8	2.0432587011447365e-8
1712	2.0434035320739525e-8	2.0433715528769907e-8
1720	2.043268760681457e-8	2.0436442309283765e-8
1728	2.0433732377319462e-8	2.0434431784471664e-8
1736	2.0436114561114096e-8	2.0431812402143186e-8
