turn	ele_ex	ele_ey	pro_ex	pro_ey
3648	2.28145778e-08	1.69278066e-09	1.13360629e-08	1.01371741e-09
3664	2.28458411e-08	1.69585075e-09	1.13384663e-08	1.01330804e-09
3680	2.28359553e-08	1.69266187e-09	1.13383564e-08	1.01387589e-09
3696	2.28132307e-08	1.69139311e-09	1.13382092e-08	1.01337164e-09
3712	2.27854231e-08	1.69142381e-09	1.13389842e-08	1.01375558e-09
3728	2.27165851e-08	1.69230681e-09	1.13371180e-08	1.01361699e-09
3744	2.26779916e-08	1.69108024e-09	1.13338545e-08	1.01409412e-09
3760	2.27000134e-08	1.68843688e-09	1.13350591e-08	1.01367016e-09
3776	2.26986591e-08	1.68680274e-09	1.13371652e-08	1.01371072e-09
3792	2.26075084e-08	1.69012047e-09	1.13394705e-08	1.01363727e-09
3808	2.26290767e-08	1.68860267e-09	1.13414200e-08	1.01404787e-09
3824	2.26315705e-08	1.68498181e-09	1.13416096e-08	1.01416514e-09
3840	2.26702532e-08	1.68892440e-09	1.13400682e-08	1.01389012e-09
3856	2.26740415e-08	1.68983729e-09	1.13376152e-08	1.01405407e-09
3872	2.27104153e-08	1.68674483e-09	1.13400754e-08	1.01406628e-09
3888	2.27020295e-08	1.68866602e-09	1.13385396e-08	1.01396941e-09
3904	2.27072189e-08	1.68953060e-09	1.13367252e-08	1.01410166e-09
3920	2.27508562e-08	1.69364987e-09	1.13355906e-08	1.01377745e-09
3936	2.27644772e-08	1.69210609e-09	1.13371854e-08	1.01415918e-09
3952	2.27240033e-08	1.69295082e-09	1.13374768e-08	1.01425676e-09
3968	2.27100755e-08	1.69641302e-09	1.13377594e-08	1.01382552e-09
3984	2.26836344e-08	1.69766315e-09	1.13394257e-08	1.01463106e-09
4000	2.26621448e-08	1.69893126e-09	1.13402782e-08	1.01388511e-09
4016	2.26934264e-08	1.70293831e-09	1.13386694e-08	1.01419678e-09
4032	2.27157670e-08	1.69990105e-09	1.13419495e-08	1.01430746e-09
4048	2.27676119e-08	1.69638951e-09	1.13383204e-08	1.01412639e-09
4064	2.28029579e-08	1.69423217e-09	1.13347594e-08	1.01466790e-09
4080	2.27857731e-08	1.69595006e-09	1.13380737e-08	1.01403854e-09
4096	2.27978279e-08	1.69690824e-09	1.13413566e-08	1.01452011e-09
4112	2.27600125e-08	1.69590554e-09	1.13396170e-08	1.01456647e-09
4128	2.27412325e-08	1.69801502e-09	1.13369717e-08	1.01433039e-09
4144	2.27467803e-08	1.69981359e-09	1.13378909e-08	1.01423224e-09
4160	2.27292916e-08	1.69686889e-09	1.13409402e-08	1.01414069e-09
4176	2.27238827e-08	1.69739494e-09	1.13391226e-08	1.01454594e-09
4192	2.27209947e-08	1.69653127e-09	1.13405173e-08	1.01417575e-09
4208	2.27331235e-08	1.69638805e-09	1.13423914e-08	1.01469562e-09
4224	2.27764862e-08	1.69747660e-09	1.13417220e-08	1.01413163e-09
4240	2.27589298e-08	1.69938616e-09	1.13396392e-08	1.01466596e-09
4256	2.27495231e-08	1.69677476e-09	1.13391000e-08	1.01434113e-09
4272	2.27091125e-08	1.69767937e-09	1.13377806e-08	1.01445731e-09
4288	2.27121022e-08	1.69977323e-09	1.13397824e-08	1.01445420e-09
4304	2.27220494e-08	1.69867482e-09	1.13409244e-08	1.01423336e-09
4320	2.26722073e-08	1.70467103e-09	1.13415636e-08	1.01471137e-09
4336	2.26768848e-08	1.70524244e-09	1.13396637e-08	1.01451214e-09
4352	2.26731939e-08	1.70491543e-09	1.13383738e-08	1.01464336e-09
4368	2.26250861e-08	1.70711139e-09	1.13419109e-08	1.01432568e-09
4384	2.26134159e-08	1.70176030e-09	1.13413779e-08	1.01436578e-09
4400	2.26134672e-08	1.70385231e-09	1.13385999e-08	1.01413332e-09
4416	2.26153796e-08	1.70004358e-09	1.13365356e-08	1.01477629e-09
4432	2.26535908e-08	1.70040355e-09	1.13381543e-08	1.01424016e-09
4448	2.26975815e-08	1.69901203e-09	1.13437902e-08	1.01468753e-09
4464	2.27527247e-08	1.69798109e-09	1.13391267e-08	1.01473849e-09
4480	2.27135404e-08	1.69958866e-09	1.13378523e-08	1.01463380e-09
4496	2.27042409e-08	1.69720203e-09	1.13404950e-08	1.01410671e-09
4512	2.26518617e-08	1.69498875e-09	1.13386939e-08	1.01470520e-09
4528	2.26677284e-08	1.69416697e-09	1.13407648e-08	1.01442151e-09
4544	2.26555572e-08	1.69481335e-09	1.13434028e-08	1.01493148e-09
4560	2.26615058e-08	1.69606780e-09	1.13458141e-08	1.01458260e-09
4576	2.26405575e-08	1.69516722e-09	1.13436260e-08	1.01423595e-09
4592	2.26375158e-08	1.69708523e-09	1.13422481e-08	1.01510172e-09
4608	2.26054071e-08	1.69549719e-09	1.13409447e-08	1.01459516e-09
4624	2.25717978e-08	1.69426681e-09	1.13411779e-08	1.01428995e-09
4640	2.25882845e-08	1.69621073e-09	1.13405746e-08	1.01530829e-09
4656	2.26275724e-08	1.70040254e-09	1.13398587e-08	1.01392534e-09
4672	2.26665407e-08	1.70206649e-09	1.13411103e-08	1.01456894e-09
4688	2.26811984e-08	1.70108123e-09	1.13417764e-08	1.01450191e-09
4704	2.26961017e-08	1.69612632e-09	1.13444732e-08	1.01462296e-09
4720	2.27046202e-08	1.69571025e-09	1.13425170e-08	1.01466941e-09
4736	2.27548503e-08	1.69815502e-09	1.13377208e-08	1.01453025e-09
4752	2.27964736e-08	1.69658984e-09	1.13382323e-08	1.01452314e-09
4768	2.27508496e-08	1.69357078e-09	1.13385606e-08	1.01467889e-09
4784	2.27412515e-08	1.69362826e-09	1.13427497e-08	1.01471065e-09
4800	2.27363496e-08	1.69476795e-09	1.13442669e-08	1.01493403e-09
4816	2.27679387e-08	1.69437968e-09	1.13418828e-08	1.01462267e-09
4832	2.27652595e-08	1.69561747e-09	1.13414866e-08	1.01485583e-09
4848	2.27675156e-08	1.69689503e-09	1.13412568e-08	1.01490360e-09
4864	2.27137107e-08	1.69449992e-09	1.13419187e-08	1.01498594e-09
4880	2.27457746e-08	1.69795660e-09	1.13432450e-08	1.01469403e-09
4896	2.27662569e-08	1.69933445e-09	1.13439232e-08	1.01470538e-09
4912	2.27447562e-08	1.69874145e-09	1.13407129e-08	1.01486138e-09
4928	2.27141022e-08	1.69619203e-09	1.13395698e-08	1.01511111e-09
4944	2.27697811e-08	1.69752955e-09	1.13407826e-08	1.01506932e-09
4960	2.27005987e-08	1.69149080e-09	1.13437475e-08	1.01483601e-09
4976	2.26613802e-08	1.68975867e-09	1.13433066e-08	1.01475835e-09
4992	2.26451979e-08	1.68807617e-09	1.13410205e-08	1.01498638e-09
5008	2.26807352e-08	1.69007326e-09	1.13437632e-08	1.01529885e-09
