# solver=pic plane=x turns=8192 n_macro=100000 records=8192
# q_bare=0.31 xi=0.005000000000000001
# q_sigma=0.3100018030288964 q_pi=0.3159968226010414 lambda=1.1990039144289975
tune	amp_sigma	amp_pi
0.0169677734375	1.7322690991983783e-8	4.936737435966191e-7
0.01708984375	1.0189761123480578e-8	8.341536795971638e-7
0.0172119140625	6.1132993002273284e-9	7.640984640381593e-7
0.017333984375	1.2165168289223727e-8	8.430762122495279e-7
0.0174560546875	8.86554106853101e-9	6.94060893586042e-7
0.017578125	1.8795684018874505e-8	2.752653561249654e-7
0.0177001953125	1.1475875364902041e-8	5.801088174983894e-7
0.017822265625	1.768278229905912e-8	9.791472281077814e-7
0.0179443359375	3.556171639807612e-8	4.939579123784663e-7
0.01806640625	2.8384602905346187e-8	4.842426223326224e-7
0.0181884765625	6.551309016506661e-9	7.638239755071065e-7
0.018310546875	1.0355348626476593e-8	8.211589988536197e-7
0.0184326171875	1.586908271976984e-8	5.02912860097038e-7
0.0185546875	1.2087302861867348e-8	6.106893584900714e-7
0.0186767578125	9.794056956092902e-9	1.944154213109475e-6
0.018798828125	1.0659332308416518e-8	1.5729867024455784e-6
0.0189208984375	7.245723251270757e-9	3.860070330620603e-7
0.01904296875	1.1938168316459946e-8	1.2635908609662572e-6
0.0191650390625	4.017014030334773e-9	1.0304150003678561e-6
0.019287109375	1.5721109253349008e-8	8.138456386821034e-7
0.0194091796875	1.490601084532441e-8	1.0098141459257164e-6
0.01953125	2.9570368827795615e-9	1.0329658419454905e-6
0.0196533203125	2.2793988612337602e-8	5.444191268149309e-7
0.019775390625	1.8444317549681913e-8	7.479559132909511e-7
0.0198974609375	7.254053809861118e-9	1.0586531311782766e-6
0.02001953125	8.084763911612953e-9	8.341784562506575e-7
0.0201416015625	2.643459764446504e-9	1.1362517974069502e-6
0.020263671875	6.02629929203327e-9	1.8214610312686075e-6
0.0203857421875	1.3872133373450346e-8	7.070870158374825e-7
0.0205078125	1.4405251507328296e-8	3.085122071029604e-6
0.0206298828125	1.6281714031883268e-8	2.6109208470188035e-6
0.020751953125	6.987175135406074e-9	1.7015351205973463e-6
0.0208740234375	8.411657793544273e-9	1.876626173791522e-6
0.02099609375	1.0923344661631228e-8	7.192057276841368e-7
0.0211181640625	8.490818444949039e-9	1.1366176996035415e-6
0.021240234375	1.278085524054073e-8	5.133755774410313e-7
0.0213623046875	5.452493848034027e-9	7.991259435010423e-7
0.021484375	5.798363097163824e-9	1.205606194009857e-6
0.0216064453125	7.384886877414015e-9	3.691263863569515e-6
0.021728515625	5.651707843438543e-9	2.835564647132383e-6
0.0218505859375	2.2099738841397634e-9	1.1620218967930529e-6
0.02197265625	5.1677182561929936e-9	2.8416526360126085e-6
0.0220947265625	5.95653998045386e-9	3.983800672436224e-6
0.022216796875	8.843708920537758e-9	3.0256887167180614e-6
0.0223388671875	1.3620859878096745e-8	1.070782314554184e-6
0.0224609375	1.5405589695450638e-9	1.1754896515386592e-6
0.0225830078125	1.1909714847732458e-8	1.026399942800311e-6
0.022705078125	1.5751202990007243e-8	3.6545791627458465e-6
0.0228271484375	1.4774410022079925e-9	5.745770059631486e-6
0.02294921875	1.3474957897132545e-8	4.714901458103421e-6
0.0230712890625	1.1941752334843029e-8	4.8027131844871364e-6
0.023193359375	1.5168173752599444e-8	2.591137887274612e-6
0.0233154296875	1.1966318704994925e-8	2.460981824538374e-6
0.0234375	3.781925881970492e-9	5.508867674076032e-7
0.0235595703125	1.3814706709779522e-8	3.0497605678401646e-6
0.023681640625	1.0858281352322308e-8	4.385605310396359e-6
0.0238037109375	1.241175913588937e-8	3.4605582563137793e-6
0.02392578125	1.500778790056613e-8	4.466452538758533e-6
0.0240478515625	4.500861573050632e-9	3.943325890726835e-6
0.024169921875	2.0558846133615003e-8	2.8126570134031153e-6
0.0242919921875	1.7770368939246398e-8	3.855693769686154e-6
0.0244140625	1.1292193541451311e-8	3.197404395344661e-6
0.0245361328125	7.494602808433172e-9	2.0820945955391796e-6
0.024658203125	1.0854965756683618e-8	3.5095546851310158e-6
0.0247802734375	7.988761275828133e-9	4.2181784112672874e-6
0.02490234375	1.716129864053769e-8	5.28301978315671e-6
0.0250244140625	1.252928898753553e-8	6.312876229819919e-6
0.025146484375	2.5554535722220307e-8	2.8665560531006783e-6
0.0252685546875	1.8529451384266484e-8	4.719987215061048e-6
0.025390625	2.7591123836696387e-8	8.088328901621326e-6
0.0255126953125	2.871746462828269e-8	7.134160889576438e-6
0.025634765625	2.9268126930695677e-8	5.411406302485185e-6
0.0257568359375	3.830434346921049e-8	6.228463596231673e-6
0.02587890625	3.130315551510552e-8	2.0532076589785443e-6
0.0260009765625	1.3857701760973285e-8	1.0504927993387319e-5
0.026123046875	1.096626480021562e-8	1.344670288676997e-5
0.0262451171875	1.1108670523806835e-8	8.047813320712513e-6
0.0263671875	8.28841026112705e-9	3.821394129225336e-6
0.0264892578125	1.6129103980158255e-8	2.3790483641520082e-6
0.026611328125	1.121716869637598e-8	3.5109328043984444e-6
0.0267333984375	2.4797066322821814e-8	5.340671180602125e-6
0.02685546875	4.4499557462733215e-8	4.2958022596808225e-6
0.0269775390625	5.3630118562092046e-8	7.803641571376052e-6
0.027099609375	4.1431540286442775e-8	1.1909737453737648e-6
0.0272216796875	1.087289101418456e-8	4.989896106191911e-6
0.02734375	1.481541630553796e-8	4.989054571309758e-6
0.0274658203125	4.499633044521812e-8	3.7200754929029128e-6
0.027587890625	6.126784463859493e-8	2.720660808492368e-6
0.0277099609375	5.6049809069691036e-8	1.933104012760774e-6
0.02783203125	6.114423777768102e-8	2.274032193385916e-6
0.0279541015625	5.421430057012112e-8	8.180432002928558e-7
0.028076171875	8.815835779200598e-8	1.518828457576079e-6
0.0281982421875	9.242887267290237e-8	1.4953753826617968e-6
0.0283203125	6.595852569944193e-8	1.2603872307446776e-6
0.0284423828125	2.1731011212403618e-8	8.053885945243299e-7
0.028564453125	3.749192964967311e-8	5.718422477831779e-7
0.0286865234375	4.4664355186831036e-8	2.415277045651096e-7
0.02880859375	9.352341413444433e-8	3.0685424633977633e-7
0.0289306640625	1.5893661945200959e-7	9.44902099347761e-7
0.029052734375	1.0147147487333489e-7	8.376875853562251e-7
0.0291748046875	9.430895956381433e-9	2.490628041444396e-7
0.029296875	7.54567794136861e-8	1.337318921076418e-7
0.0294189453125	1.3432777608175225e-7	4.651206291012792e-7
0.029541015625	1.4771425698307258e-7	6.949043674323316e-7
0.0296630859375	8.840218088960422e-8	6.511787218642768e-7
0.02978515625	1.6168152588106417e-7	4.874557314200666e-7
0.0299072265625	2.8966944023299546e-8	3.4793305575647696e-7
0.030029296875	2.9753339721496397e-7	4.1032607085247654e-7
0.0301513671875	1.9743857954359814e-7	2.4113104546437906e-7
0.0302734375	1.49909178069161e-7	4.278061374579241e-7
0.0303955078125	6.478021375897461e-8	6.545075848728764e-7
0.030517578125	2.1521063319439321e-7	2.0956701306571812e-7
0.0306396484375	2.5709277315210725e-7	1.1079276956203104e-7
0.03076171875	2.781782333446991e-7	1.204276475407246e-7
0.0308837890625	9.856688261171571e-8	2.442532397330278e-7
0.031005859375	1.0517375924692561e-7	3.1826078632448677e-7
0.0311279296875	9.866024540727464e-8	2.8799595661467697e-7
0.03125	2.958523503966314e-7	1.7630735508976838e-7
0.0313720703125	4.556046494022247e-7	6.520939935146316e-7
0.031494140625	2.804821030757178e-7	5.095168490626659e-7
0.0316162109375	3.4794278989061165e-8	1.5215467289179176e-7
0.03173828125	2.1603021415839608e-7	4.486905053394443e-7
0.0318603515625	3.028436562577575e-7	2.7959965816764136e-6
0.031982421875	3.734414682549208e-7	4.2537443095395635e-6
0.0321044921875	2.1091794867513548e-7	1.7196603994729852e-6
0.0322265625	1.8641185020196402e-7	3.0198185328507524e-7
0.0323486328125	2.054765217608625e-7	3.201571360124288e-7
0.032470703125	1.6650142988438603e-7	3.7763961471380283e-7
0.0325927734375	2.2348756255176933e-7	2.2251892142714412e-7
0.03271484375	2.6344260128177376e-7	3.15742151013156e-7
0.0328369140625	1.9438069141933747e-7	4.1553074818265824e-7
0.032958984375	1.3995086479162952e-7	4.3469808915623983e-7
0.0330810546875	1.297818550580427e-7	2.3539574278514952e-8
0.033203125	3.057285368170938e-7	8.728126495209974e-8
0.0333251953125	2.1162664356438975e-7	3.3000641060781176e-7
0.033447265625	9.33239995430589e-8	6.12663891572174e-7
0.0335693359375	1.1606712253965313e-7	7.389549205180449e-7
0.03369140625	3.449277900092384e-7	5.945047498392206e-7
0.0338134765625	5.050921345993864e-7	5.30110676233042e-7
0.033935546875	4.426189275605872e-7	8.940283016561536e-8
0.0340576171875	2.237676734174073e-7	1.9692476688737397e-7
0.0341796875	1.6483227372151504e-7	9.364810723568763e-8
0.0343017578125	2.324835358431461e-7	3.333012538479066e-7
0.034423828125	2.5125789278013107e-7	2.873517892187955e-7
0.0345458984375	2.764568060652514e-7	4.602772890989293e-7
0.03466796875	5.094769007437605e-8	3.400351668742858e-7
0.0347900390625	2.08412112003213e-7	2.1706453000669435e-7
0.034912109375	2.125879037908433e-7	8.686861532061871e-7
0.0350341796875	2.1406236611920748e-7	1.3946029784463071e-6
0.03515625	2.99143362805183e-7	9.031557736812092e-7
0.0352783203125	2.052540372378404e-7	2.0066742112863945e-6
0.035400390625	2.2021309161647834e-7	1.372251763604853e-6
0.0355224609375	1.3232279603894656e-7	1.5702893908367335e-6
0.03564453125	3.810855599914834e-8	1.9509908831005887e-6
0.0357666015625	7.567841982323398e-8	6.480247431882877e-7
0.035888671875	1.1152875623702683e-7	1.521800407396443e-6
0.0360107421875	3.5077064442172445e-8	2.3129809465946703e-6
0.0361328125	8.459353486441608e-8	3.1927322802550418e-6
0.0362548828125	1.6335682765112599e-7	2.2425627105281055e-6
0.036376953125	1.9335488691853694e-7	5.35148442700123e-7
0.0364990234375	6.289365503147701e-8	5.91187530382243e-7
0.03662109375	2.2163047529938652e-8	2.952400889223917e-6
0.0367431640625	3.25569325051596e-8	5.223013483066215e-6
0.036865234375	2.3822155555903193e-8	5.742087198645439e-6
0.0369873046875	3.3877481899903974e-8	3.6562280460373598e-6
0.037109375	3.010400119391739e-8	3.3370844796690534e-6
0.0372314453125	3.044134043587443e-8	4.509706688420626e-6
0.037353515625	5.441199531327547e-8	7.925342466319017e-6
0.0374755859375	2.4042010059452297e-8	1.0551163291133283e-5
0.03759765625	9.880163971985822e-9	1.2278836162145491e-5
0.0377197265625	1.2085125675184251e-8	1.0401208955317714e-5
0.037841796875	3.058622756011489e-8	3.150773072641973e-6
0.0379638671875	3.4670668674669624e-8	4.330668980177739e-6
0.0380859375	3.0843149688018795e-8	9.033683662767097e-6
0.0382080078125	2.3159062483479474e-8	1.561569540331388e-5
0.038330078125	2.379098677743417e-8	1.7856962815077475e-5
0.0384521484375	1.4225499726252419e-8	1.2436947607180314e-6
0.03857421875	2.3071967309893557e-8	8.336225758982539e-6
0.0386962890625	2.440096725711887e-8	7.836305638159988e-6
0.038818359375	6.827384427326086e-9	7.462119652069628e-6
0.0389404296875	7.322374890068854e-9	2.321316497911079e-5
0.0390625	1.7616269982559582e-8	2.5146871029162943e-5
0.0391845703125	6.795101758648244e-9	1.6257094936279758e-5
0.039306640625	1.2185964042502913e-8	1.4194099890155377e-5
0.0394287109375	1.6090985188719364e-8	2.557490646516031e-5
0.03955078125	1.678966629012946e-9	2.2334612738937317e-5
0.0396728515625	5.596484085880548e-9	8.805635551143071e-6
0.039794921875	1.617122862173426e-8	4.156348003340931e-6
0.0399169921875	4.245709352868464e-9	6.810486332807921e-6
0.0400390625	2.0345032380768476e-8	4.333839297948166e-6
0.0401611328125	4.037598128100293e-9	3.62023734411953e-6
0.040283203125	8.631241066512677e-9	2.1922621311193972e-5
0.0404052734375	5.62353803772691e-9	2.6996589380877894e-5
0.04052734375	6.541006356528874e-9	2.685180094448758e-5
0.0406494140625	8.808250225677737e-9	7.350568838051619e-6
0.040771484375	1.3857332386278314e-8	1.282034328421295e-5
