turn	ele_ex	ele_ey	pro_ex	pro_ey
2816	2.26187200e-08	1.67302200e-09	1.13684300e-08	1.01034900e-09
2832	2.25741400e-08	1.67357500e-09	1.13696300e-08	1.00990900e-09
2848	2.25957500e-08	1.67151600e-09	1.13676900e-08	1.01042300e-09
2864	2.25933200e-08	1.67180300e-09	1.13674500e-08	1.01027800e-09
2880	2.25843600e-08	1.67065000e-09	1.13664800e-08	1.01009400e-09
2896	2.26168700e-08	1.67168500e-09	1.13674000e-08	1.01035700e-09
2912	2.25596500e-08	1.67058800e-09	1.13713500e-08	1.01041800e-09
2928	2.25484200e-08	1.67083500e-09	1.13688500e-08	1.01046500e-09
2944	2.25770900e-08	1.67109200e-09	1.13641500e-08	1.01056500e-09
2960	2.25759800e-08	1.66926500e-09	1.13645000e-08	1.00989100e-09
2976	2.25903800e-08	1.67101600e-09	1.13693400e-08	1.01037200e-09
2992	2.25272500e-08	1.67104900e-09	1.13714400e-08	1.01032800e-09
3008	2.25145900e-08	1.66804800e-09	1.13674400e-08	1.01033600e-09
3024	2.24952400e-08	1.66752800e-09	1.13674800e-08	1.01054200e-09
3040	2.25533200e-08	1.66513400e-09	1.13704200e-08	1.01026900e-09
3056	2.25666700e-08	1.66488100e-09	1.13694300e-08	1.01043600e-09
3072	2.25223200e-08	1.66445400e-09	1.13694900e-08	1.01015000e-09
3088	2.25060800e-08	1.66515100e-09	1.13700100e-08	1.01015700e-09
3104	2.25706800e-08	1.66657100e-09	1.13690500e-08	1.01045200e-09
3120	2.26129200e-08	1.66687400e-09	1.13705100e-08	1.01022800e-09
3136	2.26058100e-08	1.66771100e-09	1.13700700e-08	1.01076500e-09
3152	2.26346200e-08	1.66751500e-09	1.13719200e-08	1.01006800e-09
3168	2.26019000e-08	1.66766900e-09	1.13724300e-08	1.01013900e-09
3184	2.26213100e-08	1.66656400e-09	1.13715200e-08	1.01039900e-09
3200	2.26455700e-08	1.66856100e-09	1.13673100e-08	1.01007900e-09
3216	2.26575900e-08	1.67129100e-09	1.13668700e-08	1.01075000e-09
3232	2.26537900e-08	1.67106400e-09	1.13683300e-08	1.01007700e-09
3248	2.25744900e-08	1.66720700e-09	1.13734000e-08	1.01015500e-09
3264	2.26056100e-08	1.66618700e-09	1.13745700e-08	1.01031800e-09
3280	2.26417500e-08	1.66593200e-09	1.13679000e-08	1.01054200e-09
3296	2.26473300e-08	1.66640900e-09	1.13661900e-08	1.01025400e-09
3312	2.26620800e-08	1.66427100e-09	1.13659800e-08	1.01043600e-09
3328	2.26401000e-08	1.66586400e-09	1.13717600e-08	1.01028100e-09
3344	2.26313500e-08	1.66653000e-09	1.13737900e-08	1.01045200e-09
3360	2.26291000e-08	1.66788400e-09	1.13716900e-08	1.01040700e-09
3376	2.26267100e-08	1.66972500e-09	1.13687500e-08	1.01062800e-09
3392	2.26247800e-08	1.67116500e-09	1.13702200e-08	1.01069600e-09
3408	2.26819000e-08	1.67030600e-09	1.13730100e-08	1.01047000e-09
3424	2.26812600e-08	1.67021800e-09	1.13686600e-08	1.01013900e-09
3440	2.27094100e-08	1.67238800e-09	1.13661700e-08	1.01085600e-09
3456	2.26285900e-08	1.67179200e-09	1.13706300e-08	1.01013100e-09
3472	2.26240900e-08	1.67099000e-09	1.13711200e-08	1.01087200e-09
3488	2.26081700e-08	1.67309000e-09	1.13715900e-08	1.01010500e-09
3504	2.26286900e-08	1.67238100e-09	1.13681200e-08	1.01015800e-09
3520	2.26208400e-08	1.67354600e-09	1.13716300e-08	1.01032000e-09
3536	2.26057500e-08	1.67256700e-09	1.13745000e-08	1.01003000e-09
3552	2.26395600e-08	1.67363300e-09	1.13698900e-08	1.01028500e-09
3568	2.26603700e-08	1.67106600e-09	1.13691000e-08	1.01042100e-09
3584	2.26228000e-08	1.67200400e-09	1.13735500e-08	1.01046100e-09
3600	2.26509700e-08	1.66980900e-09	1.13745700e-08	1.01015900e-09
3616	2.26104500e-08	1.66784700e-09	1.13744500e-08	1.01116000e-09
3632	2.26246000e-08	1.66960400e-09	1.13688000e-08	1.01046200e-09
3648	2.26372500e-08	1.66555900e-09	1.13712100e-08	1.01043000e-09
3664	2.26076900e-08	1.66548100e-09	1.13734500e-08	1.01094900e-09
